contract,mutation_type,pattern,delta,f90_target,f90_width,converged,num_intervals,exec_time,success
HubPool_c,sub_to_add,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.16,True
HubPool_c,sub_to_add,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,sub_to_add,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,sub_to_add,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,swap_add_sub,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,swap_add_sub,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,swap_add_sub,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_add_sub,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_add_sub,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_add_sub,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,swap_add_sub,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,swap_add_sub,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,swap_add_sub,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_add_sub,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,swap_mul_div,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_mul_div,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_mul_div,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,swap_mul_div,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_mul_div,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,swap_mul_div,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.12,True
HubPool_c,swap_mul_div,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,swap_mul_div,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,swap_mul_div,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,swap_mul_div,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
Lock_c,add_to_sub,diff,10,_pending,inf,False,3,0.20,True
Lock_c,add_to_sub,diff,15,_pending,inf,False,3,0.19,True
Lock_c,add_to_sub,diff,1,_pending,inf,False,3,0.20,True
Lock_c,add_to_sub,diff,3,_pending,inf,False,3,0.21,True
Lock_c,add_to_sub,diff,6,_pending,inf,False,3,0.22,True
Lock_c,add_to_sub,overlap,10,_pending,inf,False,3,0.20,True
Lock_c,add_to_sub,overlap,15,_pending,inf,False,3,0.22,True
Lock_c,add_to_sub,overlap,1,_pending,inf,False,3,0.23,True
Lock_c,add_to_sub,overlap,3,_pending,inf,False,3,0.23,True
Lock_c,add_to_sub,overlap,6,_pending,inf,False,3,0.21,True
Lock_c,sub_to_add,diff,10,_pending,inf,False,3,0.21,True
Lock_c,sub_to_add,diff,15,_pending,inf,False,3,0.23,True
Lock_c,sub_to_add,diff,1,_pending,inf,False,3,0.25,True
Lock_c,sub_to_add,diff,3,_pending,inf,False,3,0.21,True
Lock_c,sub_to_add,diff,6,_pending,inf,False,3,0.22,True
Lock_c,sub_to_add,overlap,10,_pending,inf,False,3,0.23,True
Lock_c,sub_to_add,overlap,15,_pending,inf,False,3,0.23,True
Lock_c,sub_to_add,overlap,1,_pending,inf,False,3,0.23,True
Lock_c,sub_to_add,overlap,3,_pending,inf,False,3,0.21,True
Lock_c,sub_to_add,overlap,6,_pending,inf,False,3,0.21,True
Lock_c,swap_add_sub,diff,10,_pending,inf,False,3,0.19,True
Lock_c,swap_add_sub,diff,15,_pending,inf,False,3,0.23,True
Lock_c,swap_add_sub,diff,1,_pending,inf,False,3,0.20,True
Lock_c,swap_add_sub,diff,3,_pending,inf,False,3,0.20,True
Lock_c,swap_add_sub,diff,6,_pending,inf,False,3,0.20,True
Lock_c,swap_add_sub,overlap,10,_pending,inf,False,3,0.23,True
Lock_c,swap_add_sub,overlap,15,_pending,inf,False,3,0.20,True
Lock_c,swap_add_sub,overlap,1,_pending,inf,False,3,0.21,True
Lock_c,swap_add_sub,overlap,3,_pending,inf,False,3,0.22,True
Lock_c,swap_add_sub,overlap,6,_pending,inf,False,3,0.22,True
LockupContract_c,add_to_sub,diff,10,releasedAmount,inf,False,6,0.12,True
LockupContract_c,add_to_sub,diff,15,releasedAmount,inf,False,6,0.10,True
LockupContract_c,add_to_sub,diff,1,releasedAmount,inf,False,6,0.10,True
LockupContract_c,add_to_sub,diff,3,releasedAmount,inf,False,6,0.12,True
LockupContract_c,add_to_sub,diff,6,releasedAmount,inf,False,6,0.10,True
LockupContract_c,add_to_sub,overlap,10,releasedAmount,inf,False,6,0.09,True
LockupContract_c,add_to_sub,overlap,15,releasedAmount,inf,False,6,0.10,True
